text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
So #Telstra still supports #marriageequality - but will no longer 'publicly participate in the debate.' How useful. https://t.co/RoS104rPmJ,FALSE,4,NA,14/04/2016 10:38,FALSE,NA,7.20562E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Richard_Carroll,1,FALSE,FALSE,NA,NA
RT @artbylynettag: Catholic Church silences #Telstra on same-sex marriage #thedrum #auspol #MarriageEquality @_Malcontent_ https://t.co/xMj…,FALSE,0,NA,14/04/2016 10:30,FALSE,NA,7.2056E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Aqua_Man_Om,63,TRUE,FALSE,NA,NA
A great day on the #checkinbus for #Telstra at #kronosauruskorner #idigrichmond https://t.co/oadCIPhBSP,FALSE,0,NA,14/04/2016 10:27,FALSE,NA,7.20559E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",KmanIs,0,FALSE,FALSE,NA,NA
RT @GetUp: glad Telstra has explained their step back from equality isn't a step back from equality (hot tip: it is) #telstra https://t.co/…,FALSE,0,NA,14/04/2016 10:20,FALSE,NA,7.20557E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MiraWroblewski,40,TRUE,FALSE,NA,NA
RT @GetUp: glad Telstra has explained their step back from equality isn't a step back from equality (hot tip: it is) #telstra https://t.co/…,FALSE,0,NA,14/04/2016 10:16,FALSE,NA,7.20556E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",schelliebelly15,40,TRUE,FALSE,NA,NA
Poor business decision #Telstra. Tip for the future. Dont alienate your customers....if you have any left. https://t.co/1LolUPiQIE,FALSE,1,NA,14/04/2016 10:05,FALSE,NA,7.20554E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Aqua_Man_Om,0,FALSE,FALSE,NA,NA
RT @chrisohsyd: If #Telstra had balls they would have told the Archbishop of Syd &amp; the Catholic Church to politely fuck off.,FALSE,0,NA,14/04/2016 9:59,FALSE,NA,7.20552E+17,NA,"<a href=""http://www.vipvipvip.com"" rel=""nofollow"">marie_0a</a>",marie_0a,1,TRUE,FALSE,NA,NA
RT @Lx_Boxo: I wonder how the #LGBT employees of @Telstra  feel about #Telstra's decision to withdraw from supporting #EqualRights . Divers…,FALSE,0,NA,14/04/2016 9:58,FALSE,NA,7.20552E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",ElieMekhael,1,TRUE,FALSE,NA,NA
RT @2Rhinestone: #marriageequality #catholicchurch #telstra #auspol https://t.co/GFygcHhi9W,FALSE,0,NA,14/04/2016 9:55,FALSE,NA,7.20551E+17,NA,"<a href=""http://www.vipvipvip.com"" rel=""nofollow"">Doreen0a</a>",Doreen0a,1,TRUE,FALSE,NA,NA
I wonder how the #LGBT employees of @Telstra  feel about #Telstra's decision to withdraw from supporting #EqualRights . Diversity my arse! <ed><U+00A0><U+00BD><ed><U+00B8><U+0092>,FALSE,1,NA,14/04/2016 9:52,FALSE,NA,7.2055E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Lx_Boxo,1,FALSE,FALSE,NA,NA
