text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @imnickbell: Really disappointed in @Telstra #TelstraOutage wasn't good but retracting #marriageequality support is weak, shameful and m…",FALSE,0,NA,13/04/2016 11:18,FALSE,NA,7.2021E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Dani_Rothwell,6,TRUE,FALSE,NA,NA
"Really disappointed in @Telstra #TelstraOutage wasn't good but retracting #marriageequality support is weak, shameful and misguided #fail",FALSE,6,NA,13/04/2016 11:17,FALSE,NA,7.20209E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",imnickbell,6,FALSE,FALSE,NA,NA
RT @gavinwilliams85: I’m gonna start using my @Telstra data exclusively for Grindr and hardcore gay porn. #auspol #TelstraCowards #catholic…,FALSE,0,NA,13/04/2016 11:13,FALSE,NA,7.20208E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",mavrickland,2,TRUE,FALSE,NA,NA
RT @gavinwilliams85: I’m gonna start using my @Telstra data exclusively for Grindr and hardcore gay porn. #auspol #TelstraCowards #catholic…,FALSE,0,NA,13/04/2016 11:08,FALSE,NA,7.20207E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",HyperConverg,2,TRUE,FALSE,NA,NA
I’m gonna start using my @Telstra data exclusively for Grindr and hardcore gay porn. #auspol #TelstraCowards #catholicchurch #TelstraOutage,FALSE,2,NA,13/04/2016 11:01,FALSE,NA,7.20205E+17,NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for i<U+039F>S</a>",gavinwilliams85,2,FALSE,FALSE,NA,NA
RT @jasmaswes: S l o w  c l a p #TelstraOutage https://t.co/FrUCERghoJ,FALSE,0,NA,13/04/2016 10:33,FALSE,NA,7.20198E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",juzstevo,7,TRUE,FALSE,NA,NA
RT @jasmaswes: S l o w  c l a p #TelstraOutage https://t.co/FrUCERghoJ,FALSE,0,NA,13/04/2016 10:30,FALSE,NA,7.20197E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Hasa81,7,TRUE,FALSE,NA,NA
RT @jasmaswes: S l o w  c l a p #TelstraOutage https://t.co/FrUCERghoJ,FALSE,0,NA,13/04/2016 10:29,FALSE,NA,7.20197E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",flameovsthecity,7,TRUE,FALSE,NA,NA
RT @jasmaswes: S l o w  c l a p #TelstraOutage https://t.co/FrUCERghoJ,FALSE,0,NA,13/04/2016 10:26,FALSE,NA,7.20196E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Mr_Fanta_Pants,7,TRUE,FALSE,NA,NA
S l o w  c l a p #TelstraOutage https://t.co/FrUCERghoJ,FALSE,7,NA,13/04/2016 10:26,FALSE,NA,7.20196E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",jasmaswes,7,FALSE,FALSE,NA,NA
